id_edad,etapa_ciclo_vida_conapo,grupo_quinquenal_inegi
1,Niños en edad de preescolar,0 a 4 años
2,Niños en edad de preescolar,0 a 4 años
3,Niños en edad de preescolar,0 a 4 años
4,Niños en edad de preescolar,0 a 4 años
5,Niños en edad de preescolar,5 a 9 años
6,Niños y adolescentes en edad escolar,5 a 9 años
7,Niños y adolescentes en edad escolar,5 a 9 años
8,Niños y adolescentes en edad escolar,5 a 9 años
9,Niños y adolescentes en edad escolar,5 a 9 años
10,Niños y adolescentes en edad escolar,10 a 14 años
11,Niños y adolescentes en edad escolar,10 a 14 años
12,Niños y adolescentes en edad escolar,10 a 14 años
13,Niños y adolescentes en edad escolar,10 a 14 años
14,Niños y adolescentes en edad escolar,10 a 14 años
15,Jóvenes,15 a 19 años
16,Jóvenes,15 a 19 años
17,Jóvenes,15 a 19 años
18,Jóvenes,15 a 19 años
19,Jóvenes,15 a 19 años
20,Jóvenes,20 a 24 años
21,Jóvenes,20 a 24 años
22,Jóvenes,20 a 24 años
23,Jóvenes,20 a 24 años
24,Jóvenes,20 a 24 años
25,Adultos jóvenes,25 a 29 años
26,Adultos jóvenes,25 a 29 años
27,Adultos jóvenes,25 a 29 años
28,Adultos jóvenes,25 a 29 años
29,Adultos jóvenes,25 a 29 años
30,Adultos jóvenes,30 a 34 años
31,Adultos jóvenes,30 a 34 años
32,Adultos jóvenes,30 a 34 años
33,Adultos jóvenes,30 a 34 años
34,Adultos jóvenes,30 a 34 años
35,Adultos jóvenes,35 a 39 años
36,Adultos jóvenes,35 a 39 años
37,Adultos jóvenes,35 a 39 años
38,Adultos jóvenes,35 a 39 años
39,Adultos jóvenes,35 a 39 años
40,Adultos jóvenes,40 a 44 años
41,Adultos jóvenes,40 a 44 años
42,Adultos jóvenes,40 a 44 años
43,Adultos jóvenes,40 a 44 años
44,Adultos jóvenes,40 a 44 años
45,Adultos maduros,45 a 49 años
46,Adultos maduros,45 a 49 años
47,Adultos maduros,45 a 49 años
48,Adultos maduros,45 a 49 años
49,Adultos maduros,45 a 49 años
50,Adultos maduros,50 a 54 años
51,Adultos maduros,50 a 54 años
52,Adultos maduros,50 a 54 años
53,Adultos maduros,50 a 54 años
54,Adultos maduros,50 a 54 años
55,Adultos maduros,55 a 59 años
56,Adultos maduros,55 a 59 años
57,Adultos maduros,55 a 59 años
58,Adultos maduros,55 a 59 años
59,Adultos maduros,55 a 59 años
60,Adultos mayores,60 a 64 años
61,Adultos mayores,60 a 64 años
62,Adultos mayores,60 a 64 años
63,Adultos mayores,60 a 64 años
64,Adultos mayores,60 a 64 años
65,Adultos mayores,65 a 69 años
66,Adultos mayores,65 a 69 años
67,Adultos mayores,65 a 69 años
68,Adultos mayores,65 a 69 años
69,Adultos mayores,65 a 69 años
70,Adultos mayores,70 a 74 años
71,Adultos mayores,70 a 74 años
72,Adultos mayores,70 a 74 años
73,Adultos mayores,70 a 74 años
74,Adultos mayores,70 a 74 años
75,Adultos mayores,75 a 79 años
76,Adultos mayores,75 a 79 años
77,Adultos mayores,75 a 79 años
78,Adultos mayores,75 a 79 años
79,Adultos mayores,75 a 79 años
80,Adultos mayores,80 a 84 años
81,Adultos mayores,80 a 84 años
82,Adultos mayores,80 a 84 años
83,Adultos mayores,80 a 84 años
84,Adultos mayores,80 a 84 años
85,Adultos mayores,85 a 89 años
86,Adultos mayores,85 a 89 años
87,Adultos mayores,85 a 89 años
88,Adultos mayores,85 a 89 años
89,Adultos mayores,85 a 89 años
90,Adultos mayores,90 años y más
91,Adultos mayores,90 años y más
92,Adultos mayores,90 años y más
93,Adultos mayores,90 años y más
